         362248 function calls (355583 primitive calls) in 127.908 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:428(OleDLL)
        3    0.000    0.000    0.000    0.000 __init__.py:43(private_class)
        1    0.000    0.000    0.000    0.000 __init__.py:437(LibraryLoader)
        4    0.000    0.000    0.000    0.000 __init__.py:438(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:441(__getattr__)
        6    0.000    0.000    0.001    0.000 __init__.py:455(flex_comp_method_FRAME)
       15    0.000    0.000    0.000    0.000 __init__.py:468(_parse_letter_version)
        1    0.000    0.000    0.000    0.000 __init__.py:48(UnsortedIndexError)
        3    0.000    0.000    0.000    0.000 __init__.py:501(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:502(CFunctionType)
        5    0.000    0.000    0.000    0.000 __init__.py:507(_parse_local_version)
        3    0.000    0.000    0.000    0.000 __init__.py:509(cast)
        5    0.000    0.000    0.000    0.000 __init__.py:519(_cmpkey)
        5    0.000    0.000    0.000    0.000 __init__.py:534(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:55(ParserError)
        1    0.000    0.000    0.000    0.000 __init__.py:58(NegativeInfinityType)
        1    0.000    0.000    0.000    0.000 __init__.py:69(DtypeWarning)
        2    0.000    0.000    0.000    0.000 __init__.py:76(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:847(SubclassedSeries)
        1    0.000    0.000    0.000    0.000 __init__.py:859(SubclassedDataFrame)
        1    0.000    0.000    0.000    0.000 __init__.py:871(SubclassedCategorical)
        1    0.000    0.000    0.003    0.003 __init__.py:9(<module>)
        1    0.000    0.000    0.002    0.002 _add_newdocs.py:1(<module>)
       52    0.000    0.000    0.000    0.000 _add_newdocs.py:6230(refer_to_array_attribute)
        1    0.000    0.000    0.219    0.219 _add_newdocs_scalars.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:17(numeric_type_aliases)
       16    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:18(type_aliases_gen)
       24    0.000    0.000    0.208    0.009 _add_newdocs_scalars.py:55(add_newdoc_for_scalar_type)
       34    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:61(<genexpr>)
       39    0.000    0.000    0.208    0.005 _add_newdocs_scalars.py:62(<genexpr>)
        1    0.000    0.000    0.000    0.000 _asarray.py:1(<module>)
       22    0.000    0.000    0.000    0.000 _asarray.py:111(<setcomp>)
       22    0.000    0.000    0.000    0.000 _asarray.py:22(require)
        1    0.000    0.000    0.014    0.014 _base.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _base.py:1105(ExcelFile)
        1    0.000    0.000    0.000    0.000 _base.py:404(BaseExcelReader)
        1    0.000    0.000    0.000    0.000 _base.py:645(ExcelWriter)
        1    0.000    0.000    0.000    0.000 _bootlocale.py:11(getpreferredencoding)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:262(__subclasshook__)
        6    0.000    0.000    0.000    0.000 _collections_abc.py:283(__subclasshook__)
       16    0.000    0.000    0.000    0.000 _collections_abc.py:315(__subclasshook__)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:362(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:381(__subclasshook__)
       37    0.000    0.000    0.000    0.000 _collections_abc.py:409(__subclasshook__)
        7    0.000    0.000    0.000    0.000 _collections_abc.py:760(get)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:767(__contains__)
        9    0.000    0.000    0.000    0.000 _collections_abc.py:78(_check_methods)
        1    0.000    0.000    0.000    0.000 _color_data.py:7(<module>)
        2    0.000    0.000    0.000    0.000 _common.py:1(<module>)
        6    0.000    0.000    0.000    0.000 _common.py:13(tzname_in_python2)
        3    0.000    0.000    0.000    0.000 _common.py:132(_validate_fromutc_inputs)
        1    0.000    0.000    0.000    0.000 _common.py:149(_tzinfo)
        1    0.000    0.000    0.000    0.000 _common.py:267(tzrangebase)
        1    0.000    0.000    0.000    0.000 _common.py:6(weekday)
        7    0.000    0.000    0.000    0.000 _common.py:9(__init__)
       43    0.000    0.000    0.000    0.000 _compat_pickle.py:165(<genexpr>)
       86    0.000    0.000    0.000    0.000 _compat_pickle.py:167(<genexpr>)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
        1    0.000    0.000    0.000    0.000 _compression.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _compression.py:33(DecompressReader)
        1    0.000    0.000    0.000    0.000 _compression.py:9(BaseStream)
        1    0.000    0.000    0.001    0.001 _core.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _core.py:620(PlotAccessor)
        1    0.000    0.000    0.000    0.000 _datasource.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:196(DataSource)
        1    0.000    0.000    0.000    0.000 _datasource.py:536(Repository)
        1    0.000    0.000    0.000    0.000 _datasource.py:74(_FileOpeners)
        1    0.000    0.000    0.000    0.000 _datasource.py:99(__init__)
        1    0.000    0.000    0.159    0.159 _decorators.py:1(<module>)
        7    0.000    0.000    0.000    0.000 _decorators.py:165(_deprecate_kwarg)
        1    0.000    0.000    0.000    0.000 _decorators.py:18(deprecate)
       32    0.000    0.000    0.000    0.000 _decorators.py:214(_format_argument_list)
       41    0.000    0.000    0.000    0.000 _decorators.py:252(future_version_msg)
       41    0.000    0.000    0.000    0.000 _decorators.py:260(deprecate_nonkeyword_arguments)
       41    0.000    0.000    0.000    0.000 _decorators.py:286(decorate)
       32    0.000    0.000    0.008    0.000 _decorators.py:302(wrapper)
        3    0.000    0.000    0.000    0.000 _decorators.py:318(rewrite_axis_style_signature)
        3    0.000    0.000    0.000    0.000 _decorators.py:321(decorate)
        8    0.000    0.000    0.001    0.000 _decorators.py:322(wrapper)
      231    0.000    0.000    0.000    0.000 _decorators.py:348(doc)
      231    0.001    0.000    0.014    0.000 _decorators.py:368(decorator)
      826    0.000    0.000    0.006    0.000 _decorators.py:387(<genexpr>)
        1    0.000    0.000    0.000    0.000 _decorators.py:407(Substitution)
       56    0.000    0.000    0.000    0.000 _decorators.py:436(__init__)
       56    0.000    0.000    0.000    0.000 _decorators.py:442(__call__)
        1    0.000    0.000    0.000    0.000 _decorators.py:454(Appender)
      160    0.000    0.000    0.000    0.000 _decorators.py:476(__init__)
      160    0.000    0.000    0.016    0.000 _decorators.py:483(__call__)
        3    0.000    0.000    0.000    0.000 _decorators.py:491(indent)
        7    0.000    0.000    0.000    0.000 _decorators.py:93(deprecate_kwarg)
        1    0.000    0.000    0.265    0.265 _distributor_init.py:2(<module>)
        1    0.000    0.000    0.000    0.000 _dtype.py:1(<module>)
       43    0.000    0.000    0.000    0.000 _dtype.py:24(_kind_name)
       27    0.000    0.000    0.000    0.000 _dtype.py:307(_name_includes_bit_suffix)
       27    0.000    0.000    0.000    0.000 _dtype.py:321(_name_get)
        1    0.000    0.000    0.000    0.000 _dtype_ctypes.py:1(<module>)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:100(dtype_from_ctypes_type)
       13    0.000    0.000    0.000    0.000 _dtype_ctypes.py:71(_from_ctypes_scalar)
        1    0.000    0.000    0.000    0.000 _endian.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _endian.py:23(_swapped_meta)
        1    0.000    0.000    0.000    0.000 _endian.py:46(BigEndianStructure)
        2    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _exceptions.py:118(TooHardError)
        1    0.000    0.000    0.000    0.000 _exceptions.py:123(AxisError)
        1    0.000    0.000    0.000    0.000 _exceptions.py:141(_ArrayMemoryError)
        6    0.000    0.000    0.000    0.000 _exceptions.py:17(_display_as_base)
        1    0.000    0.000    0.000    0.000 _exceptions.py:32(UFuncTypeError)
        1    0.000    0.000    0.000    0.000 _exceptions.py:38(_UFuncBinaryResolutionError)
        1    0.000    0.000    0.000    0.000 _exceptions.py:54(_UFuncNoLoopError)
        1    0.000    0.000    0.000    0.000 _exceptions.py:72(_UFuncCastingError)
        1    0.000    0.000    0.000    0.000 _exceptions.py:81(_UFuncInputCastingError)
        1    0.000    0.000    0.000    0.000 _exceptions.py:99(_UFuncOutputCastingError)
        1    0.000    0.000    0.000    0.000 _factories.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _factories.py:13(__call__)
        1    0.000    0.000    0.000    0.000 _factories.py:19(_TzFactory)
        1    0.000    0.000    0.000    0.000 _factories.py:25(_TzOffsetFactory)
        1    0.000    0.000    0.000    0.000 _factories.py:26(__init__)
        1    0.000    0.000    0.000    0.000 _factories.py:55(_TzStrFactory)
        1    0.000    0.000    0.000    0.000 _factories.py:56(__init__)
        1    0.000    0.000    0.000    0.000 _factories.py:8(_TzSingleton)
        1    0.000    0.000    0.000    0.000 _factories.py:9(__init__)
        1    0.000    0.000    0.000    0.000 _globals.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _globals.py:30(ModuleDeprecationWarning)
        1    0.000    0.000    0.000    0.000 _globals.py:44(VisibleDeprecationWarning)
        1    0.000    0.000    0.000    0.000 _globals.py:57(_NoValueType)
        1    0.000    0.000    0.000    0.000 _globals.py:77(__new__)
        9    0.000    0.000    0.000    0.000 _globals.py:87(__repr__)
        1    0.000    0.000    0.000    0.000 _inspect.py:1(<module>)
      616    0.000    0.000    0.000    0.000 _inspect.py:13(ismethod)
       90    0.000    0.000    0.000    0.000 _inspect.py:131(strseq)
       40    0.000    0.000    0.000    0.000 _inspect.py:140(formatargspec)
       15    0.000    0.000    0.000    0.000 _inspect.py:142(<lambda>)
       16    0.000    0.000    0.000    0.000 _inspect.py:143(<lambda>)
       59    0.000    0.000    0.000    0.000 _inspect.py:144(<lambda>)
      616    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
      612    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
      612    0.001    0.000    0.002    0.000 _inspect.py:65(getargs)
      616    0.001    0.000    0.003    0.000 _inspect.py:96(getargspec)
        1    0.000    0.000    0.001    0.001 _internal.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _internal.py:205(dummy_ctype)
        1    0.000    0.000    0.000    0.000 _internal.py:217(_getintp_ctype)
        1    0.000    0.000    0.000    0.000 _internal.py:240(_missing_ctypes)
